[2018-08-25 23:27:51] [INFO   ] discord.client: logging in using static token
[2018-08-25 23:41:21] [INFO   ] cogs.stats: 2018-08-25 20:41:22.151000: Adrican's Alt#2776 in #bot-commands (Freezer Games): .loot
[2018-08-25 23:41:25] [INFO   ] __main__: 2018-08-25 20:41:26.769000: Adrican's Alt in #bot-commands (Freezer Games): .help
[2018-08-25 23:41:25] [INFO   ] cogs.stats: 2018-08-25 20:41:26.769000: Adrican's Alt#2776 in #bot-commands (Freezer Games): .help
[2018-08-25 23:41:36] [INFO   ] __main__: 2018-08-25 20:41:37.387000: Adrican's Alt in #stupid-welcome-chat (We <3 Bill Gates (People we know)): .money
[2018-08-25 23:41:36] [INFO   ] cogs.stats: 2018-08-25 20:41:37.387000: Adrican's Alt#2776 in #stupid-welcome-chat (We <3 Bill Gates (People we know)): .money
[2018-08-25 23:41:39] [INFO   ] __main__: 2018-08-25 20:41:40.969000: Adrican's Alt in #stupid-welcome-chat (We <3 Bill Gates (People we know)): .loot
[2018-08-25 23:41:39] [INFO   ] cogs.stats: 2018-08-25 20:41:40.969000: Adrican's Alt#2776 in #stupid-welcome-chat (We <3 Bill Gates (People we know)): .loot
[2018-08-25 23:42:22] [INFO   ] __main__: 2018-08-25 20:42:23.874000: iWeeti in #testing-1 (Discord Bot List): .load image
[2018-08-25 23:42:22] [INFO   ] cogs.stats: 2018-08-25 20:42:23.874000: iWeeti#4990 in #testing-1 (Discord Bot List): .load image
[2018-08-25 23:42:32] [INFO   ] __main__: 2018-08-25 20:42:33.287000: iWeeti in #testing-1 (Discord Bot List): -.color 54 Putin
[2018-08-25 23:42:32] [INFO   ] cogs.stats: 2018-08-25 20:42:33.287000: iWeeti#4990 in #testing-1 (Discord Bot List): -.color 54 Putin
[2018-08-25 23:43:26] [INFO   ] __main__: 2018-08-25 20:43:27.611000: Bakagain in #testing-1 (Discord Bot List): -.help color
[2018-08-25 23:43:26] [INFO   ] cogs.stats: 2018-08-25 20:43:27.611000: Bakagain#1844 in #testing-1 (Discord Bot List): -.help color
[2018-08-25 23:45:28] [INFO   ] __main__: 2018-08-25 20:45:29.867000: iWeeti in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:45:28] [INFO   ] cogs.stats: 2018-08-25 20:45:29.867000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:45:32] [INFO   ] __main__: 2018-08-25 20:45:33.455000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 45
[2018-08-25 23:45:32] [INFO   ] cogs.stats: 2018-08-25 20:45:33.455000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 45
[2018-08-25 23:46:01] [INFO   ] __main__: 2018-08-25 20:46:02.347000: iWeeti in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:46:01] [INFO   ] cogs.stats: 2018-08-25 20:46:02.347000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:46:03] [INFO   ] __main__: 2018-08-25 20:46:04.992000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 45
[2018-08-25 23:46:03] [INFO   ] cogs.stats: 2018-08-25 20:46:04.992000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 45
[2018-08-25 23:46:19] [INFO   ] __main__: 2018-08-25 20:46:20.742000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 10
[2018-08-25 23:46:19] [INFO   ] cogs.stats: 2018-08-25 20:46:20.742000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 10
[2018-08-25 23:46:41] [INFO   ] __main__: 2018-08-25 20:46:42.221000: iWeeti in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:46:41] [INFO   ] cogs.stats: 2018-08-25 20:46:42.221000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:46:44] [INFO   ] __main__: 2018-08-25 20:46:45.235000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 45
[2018-08-25 23:46:44] [INFO   ] cogs.stats: 2018-08-25 20:46:45.235000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 45
[2018-08-25 23:47:42] [INFO   ] __main__: 2018-08-25 20:47:43.430000: iWeeti in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:47:42] [INFO   ] cogs.stats: 2018-08-25 20:47:43.430000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.reload image
[2018-08-25 23:47:45] [INFO   ] __main__: 2018-08-25 20:47:46.499000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 45
[2018-08-25 23:47:45] [INFO   ] cogs.stats: 2018-08-25 20:47:46.499000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 45
[2018-08-25 23:47:53] [INFO   ] __main__: 2018-08-25 20:47:54.730000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 10
[2018-08-25 23:47:53] [INFO   ] cogs.stats: 2018-08-25 20:47:54.730000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 10
[2018-08-25 23:47:59] [INFO   ] __main__: 2018-08-25 20:48:00.635000: iWeeti in #putin-guild-and-error-log (Putin support server): -.color 10
[2018-08-25 23:47:59] [INFO   ] cogs.stats: 2018-08-25 20:48:00.635000: iWeeti#4990 in #putin-guild-and-error-log (Putin support server): -.color 10
[2018-08-25 23:48:59] [INFO   ] __main__: 2018-08-25 20:49:00.333000: DT_A1moGツ in #bot-commands (TeGriAi): .slots 100
[2018-08-25 23:48:59] [INFO   ] cogs.stats: 2018-08-25 20:49:00.333000: DT_A1moGツ#3889 in #bot-commands (TeGriAi): .slots 100
[2018-08-25 23:49:25] [ERROR  ] asyncio: Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0D417430>
[2018-08-25 23:49:25] [ERROR  ] asyncio: Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x0D80DC10>
